content,score
"So far it's pretty good. I've been using it about a week. Sometimes it doesn't refresh, but the other users on the app seem positive and friendly. There is a lot that I am learning through users that isn't actually explained in the app. Like if you don't do all your daily tasks, the whole party takes damage. So yeah, no pressure! It would be nice for a better help options or a more detailed in-app-fist-time training/learning session. Every 'first' should option for more info!",4
"Really nice app that is easy to use. Would be cool to see a feature where you can build things, like building a village and materials for this are acquired through completing tasks/habits",4
"The app's a bit glitch-y, not gonna lie, but it helps tremendously in my day-to-day life. The community aspect of it is amazing, I actually feel motivated by all the kind words. Good job, developers, my life's a bit less bleak now! c:",4
Its pretty good so far. My dailies just seem to never reset though. I got a streak of 2 and from then on it never moved forward,4
This app is good and it's useful. Yes it's true that it has a few bugs here and there but the app itself is good and I like it. I wish it had an offline mode because I can't stay on all the time but I can see why we need to be online at all times.,4
"This app has really helped me get my stuff in order! It also has an active community and good challenges! It is a bit glitchy at times (things don't refresh, etc) but overall it's great! Edit: lol, the 'report a bug' is glitched on my phone :P I had to manually send my info over, in the middle of fixing a glitch where my day won't reset - been broken for a week.",4
"Not very expressive frame for activity descriptions, must be in the first stages of development. Guilds look incredible diverse, very surprising it is a social app. Seems the leveling function is standard gaming and well embedded. Hope open sourcing it make it better fit. Passing habits to to-do would be desirable.",4
"I'm easily motivated by things like points and streaks, so this app works really well for me to increase my productivity and decrease my anxiety. I use rewards for breaks, and find that I get unpleasant but short tasks done much more often, because I can earn breaks quickly by just getting them over with. I also get my long, complicated, multi-part projects done early. I gave it four stars because there are a couple of features I'd like to see, but it works great as is.",4
"I'm surprised, this app actually works for me! It helped me procrastinate less, but I also realised it works only if I remind myself to check the app a lot. I recommend it for those who have really bad procrastination problems like myself. Even if the game style of this app isn't your thing, it's a great to-do-list app for habits, daily reminders and general to-do items. Only complaint is it's glitchy for me when I want to customise my avatar.",4
"I've been wanting a habit tracker that is fun and this definitely is. There are a few loading issues every so often, if those bugs weren't there I'd give 5 stars. All around though enjoyable, easy to use, and a great way to keep track of good and bad habits.",4
"I really like the concept of this app, the style, the features, and it has done its part in motivating my studies and organizing my life. However, the app needs some serious redesigning. The layout is difficult to navigate and the chat function is almost useless. The way challenges are organized could also use improvement. All in all, I like using it (make an account a month ago), but the functionality needs to be improved",4
"would love, love, LOVE an offline mode as I don't have internet access at all time but adore this app to keep me on top of my life and mental and physical health",4
"Can this please get a feature where I can add tasks when offline and it uploads to the server whenever I connect to the internet. At the moment, it simply deletes everything.",4
"I love this format, only thing that would make it better is some form of active side scrolling gameplay element, build your character throughout the week and then try to beat a level sort of thing",4
"This is a very helpful and fun way to get yourself in the habit of doing things. The Daily Tasks are a fantastic way to get your daily stuff handled and check them off within the app. You've got the ability to create To-Do lists with due dates and notification reminders can make it ridiculously simple to get even the most complex task completed. On top of all this, seeing your character earn experience, new items and getting pets and mounts turns all the monotony into a wickedly AWESOME RPG.",4
"A great idea, and the app itself has been improved a fair bit, but still a little bit too slow to respond to give five stars. Seems a bit like server congestion maybe?",4
Very cool app!,4
"I've been using this app for about a year now, I think. I love keeping myself accountable, and tracking what I'm doing and what I'm not each day. Lately, I've been getting push notifications for every single message that members of my party are sending in chat, none of which mention me. I've switched off push notifications completely but they're still coming through all the time. This is the only thing stopping me from giving 5 stars!",4
The app is good and all. The only problem is that the reminder does not work.,4
"Fun for university students The only problem is they don't order the tasks by date, do you have to be careful not to miss homework. Now that i think about it, it's actually a big problem for students using the app. It is fun, overall, and I do homework to keep my avatars alive. Think Tamagotchi",4
So far I love it,4
"Amazing app. Some glitchy moments, but overall nothing too annoying. This app is so cool that I'm OK with some glitches because in a very short time its already brought so much value to my life! Brilliant idea to get you into good habits and out of bad ones. In my experience it actually works!",4
Fabulous tool for task management by those organizationally challenged. For five stars it would need to include a calendar function.,4
"Have been looking for a way to incorporate the elements of gaming into making progress ""In Real Life"". Even tried inventing something for myself but paper tracking was a nightmare and having it in this app is just fantastic! Really like it and it has made a big difference! The only reason I took it down a star is because it depletes my phone battery really fast if I am in the app for very long, such as when I am shopping or browsing challenges, so I do these things mostly on my PC. Overall, great job! Would recommend this to anyone that enjoys gaming but is struggling with motivation in the real world.",4
I wish I could control the reminders for my tasks more. Like the volume or what noise it makes. Other that that the app is great for keeping track of things that need to be done.,4
"Every other month, I think I'll do better. I try again. I download this app. Everything gets back in order, so I uninstall it to free up space in my storage. Then I relapse. I download the app again. This is a never ending cycle of desperation, loss, and hope. I will always download this app. I will always uninstall it. 9/10 would recommend",4
"Разработчик исправил ошибку, которая не давала начать и оказалось, что приложение довольно хорошее, но:Режим испытания - бред. Кто-то его использует по фану и исход решает рандом. Кто-то пиарит свой ютуб канал.Так же, нет приоритизации сложности целей.Т.е кто -то поставит сложной целью написать диплом, а кто -то сходить в магазин.Дорого,в игровой валюте, стоят квесты. За неделю так и не получил. Хотя целей было много. Удалил его, так как мне не подходит дизайн для офиса. Но это уже особенность",4
"I have been using Habitica for quite some time now and i must say, it has been the most useful in helping me establish a structure to my day. HOWEVER, the To-Dos are very limited in its functions. It's hard to implement a full task management (such as GTD methodology). It pretty much only supports next action steps, not any layers such as Projects or Waiting For. Also, syncing across devices can sometimes be problematic I hope they will improve the To-Dos and make syncing smoother.",4
Such a cool app! I'm in love with it! Sad that it doesn't work properly offline though :( also has bugs,4
Quite good,4
"It's a great start to improving your life, but it's more or less just a planner app!",4
Amazing app but the extremely buggy ui have made the app irritating to use and sometime unusable without a restart.,4
"I like it a lot. But it doesn't have as much of the GAME aspect to it. I wish there was a feature where you character could actually play in an rpg game using the equipment and skills you earned. You could have a little rpg game on the side and has cute little morality stories. Without it, it doesn't really incentivize much.",4
"It's amazing, I just wish there was goals and categories for tasks",4
"A great app for tracking goals and habits. It is also the most fun since you achieve virtual goals ""XP and Gold"" to level up your character! Will give 5/5 if it had a Dark Theme!",4
Quite confusing,4
Nice but why does it need data tho?,4
its ok little confusing at first i think some more of the features that are in the add a blah should be a bit more clear. also a report a bug option would be nice my entire phone is on silent cause im at work app still makes sounds.,4
This app can save your life. Love how you can pin widgets to your home screen on Android phones. Only suggestion is to add a calendar.,4
Great way to manage your tasks. Only downside is you set the deadlines and can knowingly chance them at any time,4
"INCREDIBLE for keeping motivation up, but the mobile app is intermittently buggy in odd ways. Definitely still highly recommend it, though!",4
Great app!,4
The concept is absolutely amaizing😊 but the procedures are very complex...😅 Can you plaese make another app with same concept👍 and with simple procedures...😊 [In simple words... Please make a simple app which has concept of gaming type rewards on completing important tasks...🤗],4
"Perfect app!.... but its missing an IMPORTANT tab... its already got Habits, Dailies and To-Do's BUT it doesn't have a Bucket List/Life Goals tab, for me, It doesn't feel right to put ""Learn a new recipe"" in the To-do Tab, I also want to put in my goals like ""focus on getting high grades"" or ""get a girlfriend"", I can't put these in other tabs",4
Buggy but awesome!,4
would be perfect if I could organize the to-do's by date!! they're random right now,4
"Very Nwice Hi, How can I sort my todos according to due date? Is there any way I can team up with local players? Also is any offline version coming up, just to check off tasks? Thanks.",4
"I used this all the time before, and it was fun in the beginning, but got really tired of the low res graphics! If they were a bit more high def, it would be amazing! we could finally see the equipment customization better - more motivating to continue using and complete tasks.",4
I'll give it a 5/5 once yall make it functional offline 😛 (like maybe allow us to edit/cross off tasks offline and let it automatically sync once connected to the internet),4
"Good app with good widgets one star deducted as I can't work out how to view completed tasks, dailies and habits",4
"I guess I love it as it kind of works? I mean this is as good as an app can get for it's purpose. It has the perfect amount of features and completely customizable. The biggest problem I have is at the beginning it's very challenging to keep alive (as you have no party/armour yet) and also as far as I'm aware I could only edit the order of the dailies, I wish they can be done to other sectors too.",4
Great app. I just wish there was a way to keep track of time on a task/habbit (built-in timer instead of having to open an external timer),4
"This app has been so helpful for me to be more productive, as i didnt take care kf myself before! i can't complain about anything, except sometimes when i first log in for the day, my dailies will be from yesterday and will take a minute to switch to today. I would love to see why so-and-so points are being deducted when you take damage from missed dailies! Like.... ""Clean (medium): -6 Health"" or something like that. I don't think I'll ever delete this app, and i look forward to any updates!",4
"it is fun. every time i get an egg/food/potion though, i have to drag down the spinning wheel to let it reload 😒",4
"The app version has so much more to improve. Aside from being buggy, a lot of features are still missing compared tovthe web version. Four stars because it helps me nonetheless. I wish the team best of luck and thank you for Habitica! ✨",4
"just started using and seems interesting, hope it'll help me to improve my life! one issue I have is that it does not give an option to sort to-do task by deadlines, which is better to see which tasks are urgent and not overlooked, hope there's an update to add this function!",4
"rlly good,just 4 for bugs.. but it's really good!!",4
"i cannot pin/unpin rewards after UI updated, plz fix it. i love this game😭",4
"with the new update, when you tap tasks or the eggs and hatching potions you have to close and reopen the app in order to get it to load. but otherwise the update is really cool",4
"App doesnt work without internet connection, everything else is great",4
"Excellent app, great habit tracker. I've found in this app an exciting way to be productive! There are some bugs and functionalities that need to be fixed, however, it's worth using it. I really recommend it.",4
to do list and reward system works for me when regular lists don't cut it. Chat in the app has a bug that keeps you from seeing what you are typing.,4
"Easiest way for me to use Habitica. Simple but motivating. I'm not sure if moving the plus button to the center was a good idea, it covers more of the text of the tasks there. Though it is a easy to forget that you need to pull down on the tasks section to see any changes in inventory/tables.",4
very help..,4
"Oh my goodness. I'm so sorry if I pressured you guys. I actually just listened to Thomas Frank's podcast with you guys from a few years ago and learned more about HabitRPG's history and its developers. I love how responsive you guys are unlike some other app developers. They didn't send me any feedback on an issue, neither did they try resolve it. Anyways, I'll just leave a 4-star so that you guys could be motivated to get a 5-star! Love your work! Shout out from the Ph.",4
"Make it easier to understand when you're activating quests. I didn't have anyone in my party by I was still somehow doing it and finished it by myself without realizing it. Make a design change/renaming so that there's something labeled ""start quest"". Still a fun and useful app. Growth is neverending",4
I am a big gamer and always found my self more motivated by games. thank you for making my life action list more fun and rewarding.,4
"Just downloaded the app.Loving the idea of adding my own habits & to do stuff which i used to tick off daily on notepad(uff) ,now I am glad its automated with rewards too!!.(yay!)Have a suggestion to make all sections of list tabs movable up/down (like the rewards section) to organise as per customisable preference.(-:)",4
"love the idea! but the execution is kind of clumsy. there's little to no guidance with regard to how parties or challenges work, and the rewards seem to be random at best. the graphics are adorable and the app definitely has potential though! but it would be more user friendly to streamline the app because it can be overwhelming with so many choices and options (i.e. mounts, food, eggs, etc) that seem mostly arbitrary.",4
Wonderful app.,4
"The app is great, but is it possible to see the tasks from your Group?",4
"How can I set it so that a task would show ""the remaining days until its due"" (like on the PC), rather than showing ""the date it's due""? I find the countdown of remaining days to be more useful than the date.",4
"Really enjoy the app, probably wouldnt recommend unless you have someone to do it with. Also, please set up a system of 'weekly' tasks, currently you can only set a daily that you complete once a week but it would be nice to have the flexibility of doing a task any day that week without being penalised.",4
"Great app, still getting in to and it looks like there is some content that is only accessible by paying real money but I really love the old school art style.",4
"I would have reported this as a bug within the app, but I found another bug when trying to do that. First one: when submitting a bug or feedback, it does not pass through the 'To' address into the email, so I'm not sure where to send it to. Second one: when editing a habit, daily or to-do text field, the keyboard pops up and disappears. A workaround on this (for my device) is to rotate the phone landscape. Using pixel 3. Otherwise, a very good app!",4
it really helps,4
widgets have disappeared?,4
"Guys - I really want to like this app more and give it 5 stars! Everything is there and I can see the work and effort that has gone into making it so thank you so much! But on Android the habits screen is quite buggy and won't let me adjust the streaks. The keyboard comes up but closes immediately so I can't do anything. The dailies work fine. I look forward to any updates you're planning but considering this is free, I think what you've achieved is great!",4
"We are using this as a group in my family and it honestly is helping us a lot with staying motivated. I have a difficult time with my anxiety and depression, but this app has helped me to feel a sense of accomplishment. I am experiencing inspiration a little more often and I have been struggling for years with this. There are some aspects I'm not entirely fond of that I hope will continue to be updated; however I'm grateful to the developers for making and keeping up with this!",4
"Great motivator, especially with the whole online and boss battle aspect. Far too pay to play, however.",4
I never enjoyed doing my todo list as much as this before! There are some bugs though...,4
Amazing App!!! But still you guys need make a lot of changes in UI for eg: I am unable to decide how much coins should i get with one positive And all task should reset at a specified time by user,4
Fantastic Habit Forming App! The staff is so kind and helpful. My reading skill and general cleanliness are castle improved. I love forming a party with friends and doing all the little quests together.,5
Great experience. This app has made me more productive and engaged! Love it,5
"I find it so hard fitting things in/remembering to do things, but this app makes it a breeze. Grateful to have it! 👏",5
Made productivity really fun.,5
Best gamification app.,5
awesome!,5
"Makes daily chores feel like a game. Habitica has this thing where you collect an extensive list of gears and animal companion when you complete tasks. I love collecting items, so choosing the rogue class out of the other 3 is probably the best choice for me. There's so much more to it too :)",5
I REALLY LOVE THIS APP. REALLY MULTIFUNCTION AND REALLY GOOD!!,5
Nice app tp start a new habit!,5
"Great idea, great app",5
Worked extremely well for me with getting organized and gamifying everyday tasks. Has a really helpful community.,5
Previous issue was fixed by developers. Thanks for getting back in a timely manner. Great application and is a fun way to keep yourself motivated. Being a gamer myself it is a nice change of pace to your traditional tracking app.,5
"Great app help helps me get stuff done compared to other so-called ""Adult"" "" serious, not childish"" app",5
"New UI design is amazing! Only one mistake... when I edit a task, the save button is not showing but I can click that...look into it. Edit: Its fixed now already, Thank you :)",5
"I love it :D I met great and fun people and this is the only to-do apps that really makes me do it or else I'll die oof. I love the concept and all but i kinda wish that there'll be more default costumes like the hair that is free, or some that can be bought by coins if possible. And maybe the background too? Anyways overall I love it, it was really effective for me. Keep up the good work, I'll look forward on it",5
"What would I do without this? Seriously. I don't know. This has honestly helped me work out, and floss. How dumb is that? I don't want to disappoint my party, so I have a certain amount of reps and chores to take care of every day. And darn it, I do them. I have 100% seen improvement in my muscle-mass. It seems... So weird. But this game/whatever you want to call it has started to make me buffer. And I love it.",5
"Best app I've used to help me stick with habits. They change colors, ranging from deep red to light blue, to show the how well you are doing with the habit. The support features and articles help you customize the app in many ways to fit your needs.",5
"This app is amazing! It's exactly what I need to keep track of my goals, cleaning tasks, and to-dos. The widgets were a game changer and allowed me to basically create my perfect bullet journal spread on my phone. And they already gameified it for me so I don't have to. Truly a blessing of an app.",5
"Habitica has been a massive positive push in my life. I dont make alot of game reviews, but i kinda felt like i had to for this one. I have adhd and it mainly affects my executive function which gives me alot of issues with procrastinating and putting things off and letting things like my personal hygiene and im ashamed to admit this, but the care for my animals go. Having a place to manage all that with an immediate repercussion, even if digital has been a wonderful motivator",5
"This app has helped my family and I maintain a daily routine despite the emotional rollercoaster that has been 2020. Updates sometimes cause bugs but they're rather charming & are quickly corrected. Whether you're using this solo, with irl friends, or ones you make through the app, habitica will help!",5
I wish it will be widget in next update Please,5
"Used to love this app, but recently, it's become very buggy. I can no longer use the check boxes for Dailies or To-Do's. Please fix this app. UPDATE: Appears that whatever bug occurred has been fixed.",5
I love this app! The new dark mode is great. You guys fix any problems really fast and listen to the people who use Habitica which I appreciate. Cheers!,5
"One of the most flexible productivity apps I have used. Works as a Habit tracker, daily reminder list, and a To-Do list, which is great if you want to have an overview of all these things inside a single app. Makes your tasks feel less overwhelming by keeping the theme light and fun. The devs add new content to it constantly and the community is able to create guilds and challenges, offering a more social experience than most other productivity apps.",5
"It's a nice to do list app for me. Separating things into habits, dailies, and to do's isn't something I really thought about. So it's helped me plan what I want a bit better. I just wish there was a late night mode where it acts as if it's yesterday so you can accurately reminesce about what you did that day. I usually plan things out at night. Also turning a to do into a nice grocery list would be nice too. Trying to put it in the notes of a to do doesn't really work since you can't check.",5
"Useful, needs a good internet connection (I can do banking and then find that my connection is not good enough for Habitica). I have used this for well over two years and, even at work, it's a nice boost to my feeling of accomplishment when I get things done. Great co-op with family, too. Very responsive Devs.",5
The best habit and to do list tracking app.,5
Increible! La mejor app para organizar tu vida!,5
This app saved my life,5
This makes me so much more productive!,5
This app changed my life,5
"I noticed how obsessive I was about getting an achievement in some video game..Like a new gun, module etc. I would grind for ages... I thought what if I did this kind of work in real life? I would be so far ahead! So I thought to look for a Gamification app. Habiticia fit perfectly. I'm using the same ""obsessed"" attitude and all my thousands of hours of childhood ""training"" I have to achieve in video games games for achieving my daily habits. Thank you, you saved me. Instant 1 year sub.",5
This is one of the best to do lists that I have used . Even Google's to do lists pales on comparison.I was surprised to find no constant ads or a pro mode which these things usually have. The widgets are almost perfect except for the hobbies make that 1x1 but it's a really good experience overall . I recommend using it . It helps a lot gamifying ur to do list makes you more eager to do them . Thank you for a to do list that is totally free . I definitely recommend this.,5
Quite fun. Actually started keeping up with good habits already just to hatch some pets,5
Idk why I still stop doing my habits,5
Phenomenal productivity application.,5
One of the few apps i can truly say that is life changing,5
"This app is amazing, truly. Sure, there are still minor bugs that existed from years ago when I started my first account, but the amount of progress it went through during that time period just shows how much the developers care and how much effort they've put (even just from the display!) in towards realizing this wonderful app for all of us who are looking to better our lives. Thank you so much!",5
"I absolutely love this app, it has helped me a lot organizing my time and creating positive habits!",5
"Edit: the app gets better with every update and I hadn't had any bugs for a while now. I absolutely love how it looks after the latest update - super clean and fresh. 5 stars and many thanks to the hardworking devs. Love habitica. I find the app often has one bug or another from update to update, so can't really give 5 stars, but the devs do a smashing job regardless so 4 stars from me.",5
Awesome stuff! I just wonder if its possible to have a choice for dates to be sorted from day/month/year since thats what im used to. Other than that great job!,5
"Thank you for the wonderful update. Been using the app for years. Because of the great update, I bought gems as gratitude to the developers. Thanks!",5
Wow new app ui is looking great,5
"Thank You for the Update, I have been waiting for dark mode since months. Best App Ever!!",5
"This app is really amazing! There are different categories to sort your tasks into to suit your particular needs. The RPG aspect is really well done: your productivity reflects on your avatar in a surprisingly immersive way. It's rich with a variety of items, equipment and cosmetic customisations for your avatar; the quest feature is a great way for people to socialise productively and hold each other accountable in a fun and creative way. I've never loved getting things done more!",5
"Love the new UI. Before, you can't look at tasks when offline. It's fixed now. You can also filter the tags.",5
Really helped with motivation,5
This app has been a game changer for productivity in my life. There is soooo much to do and explore.,5
"Amazing app, love it!",5
"I like this app. But currently there's a glitch which isn't letting me delete dailies and habits left over from older challenges which have been closed now. Please look into this. I tried re - installing, and using the website version, but nothing worked.",5
"Can't recommend it enough. Get a party, and you'll make friends super fast and get loooooads of motivation! NO ADS. No annoying popups. Only teamwork, motivation, and rpg magic. Perfect app. Can't thank it enough.",5
"This app helped me so much with acquiring and maintaining good habits! It's amazing, I adore it deeply, and will continue to support it 💛 I've bought a yearly subscription - totally worth it! This app is lovely, and developers deserve all of the praise they can get 💜💜💜 Love you guys, keep up an outstanding work!",5
The best way to help a nerd getting h*s tasks done! I use it everyday.,5
"Habitica isn't just helping me stay productive and organized, it's also really fun to use, and makes me want to do stuff I'd otherwise try to avoid. I love everything about the app, especially the social features like Guilds and Partys which make the whole experience even better.",5
Like it. It has items and you become a character that takes dmg and lvl up. Even got a pet. Love it,5
"I'm only a few days in, but I gotta say, this feels like virtual adderall. I'm excited to get things done now. My to-do list doesn't scare me anymore and I no longer deal with crippling anxiety about all the stuff I didn't do every night when I try to sleep. Definitely feels like I've ""hacked"" my reward system. Fingers crossed this isn't just a honeymoon period, because for the first time in ages I'm ENJOYING getting things done. No more stress - just dopamine.",5
Nice app finally some good frikin friends,5
Excelente para organização pessoal e ainda se diverte com o jogo,5
This app has already helped me so much and I got it a week ago!!,5
Great app that helps me keep organized and motivated. Fun spin on a to-do list!,5
Simplify your life with the leveling up system and - categorizing & organizations,5
"This is a very unique and interesting game, and it's really been helping me keep schedule during quarantine, which is amazing and really makes me happy, but it only gets four stars because sometimes it doesn't keep content. I used a royal purple hatching potion on one of my tiger eggs (I had two) and both items disappeared from my inventory but I didn't get my tiger, which is really disheartening. Very willing to fix this review if it suddenly shows up, but I don't think it will :[edit-fixed!!",5
nice app,5
Great app! Has kept me on track with my goals!,5
"The grindy gamer in me refuses to not be rich in coins buy in order to get coins, I need to finish tasks. I dont even feel like studying is studying anymore. Studying has become grinding for a game, making me want to do it more.",5
Awesome! The last time I used this app was about 3 years ago. Now I use it again and found the updates are amazing.,5
"The best habit forming tool ever, whether you pay any attention to the game aspect or not",5
"This app is great! I've only had it for a few days, and I'm addicted! It's so fun and helps to get rid of habits and create new ones, it helps me get things done. It's so cool! I love the fact that if you want something, you've got to earn it, and it makes you feel good about completing tasks! It doesn't always tell you to rate the app and/or share it which is another plus. 11/10, I do recommend!",5
"I love this app, it only app that keeps my interested. I love the to do list, habits and daily :) then if you want you have a change to challenge yourself. I wish they had a search bar to search up challenge, maybe a group and create group button and way to invite friends and become friends with your real friends so you can do challenges together but I would totally reccomend this app download it now you will not regret it :)",5
Best habit tracker app ever,5
"This app changed my life. Im more willing to do the hard parts of my day because I don't want to take more damage. Seriously, this app is a God send and I even subscribed!!",5
"I LOVE THIS APP VERY MUCH. When the quarantine started, I gained a few kilos, didn't exercise enough and would sit on my phone all day. When I found this app, I started to do things - even making habits that I want to have. Also, this app is also a semi-RPG game, so it's a really big plus. 5 stars, GUARANTEED.",5
This app combines all the features I've been looking for into one simple interface,5
I love this app as it actually help me to change habits.,5
Dame great app,5
"I am completely in love with this app. This app has changed my life completely. Which is why I want it to get even better. Here is a small recommendation. Make a 4 week calender system (A/B/C/D week) so that if you want to make a schedule where you take 1 day off after 3 days of work, It is completely possible to make a routine that will keep repeating itself. (4dayx7=4x7day) by simple math, once you get to 5th week, you are back to the same pattern as that of 1st week and so, the cycle goes on",5
Best productivity app ever.,5
This is a really fun and awesome why to help you sort your life with the bonus of dopmine fun things.,5
So far this seems super cool! I'm excited to try it more and leave a more informed review!,5
trying to be productive,5
"Just love this app,it's really awesome for managing your dailies and to-dos,for anyone who loves gamified version of work to be done this app is all yours ;)",5
Update made it working again... Hats off to the hard working Devs... Eager to try it....!!!👍,5
I love this so much,5
Love it! Such a brilliant idea and really well executed. One of the best apps I've ever used.,5
"One of the best apps that I've used so far... I'm a procrastinator, due to which my grades had suffered a lot... I came across this app on a site, and decided to give it a try... One of my best decisions",5
"I really really love this app. The gamifying is really good. And I especially love the guilds with various creative monthly challenges. Another pro is that most people don't spend too much time chatting. The chatting is limited to a healthy amount (cuz ppl r busy with tasks) and it is still social enough to provide enough encouragement, sharing of thoughts and pointless banter to take ur mind off stressful stuff .",5
This app has helped me in doing my tasks on time. It helps me to be more accountable and be more responsible enough. The gamified style kept me going as I see how much my character levels up.,5
Just like Solo Leveling,5
Best productivity app I've used!!!,5
"Excellent app!!! I would rate it 6/5 if calendar option somehow exist. Imagine you do have birds-eye view in days, weeks or even years. May not be a rating/review more kinda suggestions hehe. Admins and Developers great job! Salute to them for making this app awesome. :)",5
Great tool to develop new habits. I owe habitica a lot.,5
excellent app,5
By far the coolest darn app I have ever played in my life!! I love the whole concept of what is trying to be portrayed here. I doubt I'd actually be good at it because I kind of procrastinate on things a lot😂but it sure is fun already so maybe I've got a chance. But thank you developers for creating this. This can really help people towards their future😊🙏in the most bizarre but absolutely amazing and fun way🤗,5
Keeps me focused,5
"Love it. Pretty simple, and it helps me get things done, and even helped to break bad habits like sleeping wayyy too late and waking up at like 12PM. I haven't talked to other users all that much but from reading tavern messages, the community seems very helpful and supportive. I've been using Habitica for about a year now, and I plan to continue using it until I can finally get things done without having to be threatened by a party quest boss lol. 11/10",5
Very nice productivity rpg game,5
"This is the best! This inspired me to complete my tasks that I always seem to forget in doing. I also had fun at the same time! I really love the RPG-style theme. While using this I realized almost all rpg mechanism are in this but trading so I hope you guys put a trading system or item gifting or whatsoever in the next updates. Also, I wanna try becoming a subscriber for free so, hope you guys give me atleast a 1 mo trial hehe💖.",5
"I LOVE THIS APP. It helps me so much when I want to get something done, and when I need to do something daily, like take my vitamins, or wash the dishes. There are also so much nice people when you join guilds. 10/10 would recommend to a friend. Note: This app is way more helpful if you're into games, points, and competitiveness. (I'm very competitive 😅) But it's still super helpful even if you're not that interested in that stuff. Again, 10/10 would definitely recommend!",5
Actually for once in my life am getting stuff done lol,5
Awesome! I've become way more organized after starting to use this app. Absolutely loved it. Keep up the hard work dev.,5
It just works.,5
"Helped me get in control of my habits, helps me keep accountable! The setup allows me to select how difficult any task is and scales to it, very helpful",5
"I've only just started up, but this app has progressed so much since I last saw it! UI is really tidy and easy to use. It doesn't feel like everything is locked behind a paywall (though I plan to support). Tasks/rewards/etc. are easy to customize, so the game can be tailored to exactly what you need. I have ADHD, so an app that makes every task a fun/novel experience is fantastic. I'm hoping this becomes a well worn tool in my belt. Thanks to the devs for creating such a useful resource ❤",5
"Even without an RPG element, this app is robust enough to suit any of your habit tracking needs. Its ridiculous how much better this app is compared to other regular paid or unpaid habit trackers.",5
Really love this. I enjoy the complexity and the fact that you can buy 'rewards' for keeping up with stuff and that there and consequences for not doing your dailies.,5
"This app really changed my life. I was able to make my life work with this. I've been trying to get my life on track and out of depression, and this app showed me how. Now I am keeping my house clean, keeping up with my social life, doing homeschool with my kids, and keeping up with then 😊 I didn't think that was possible last year.",5
Its awesome,5
"Helps me SO much. Like seriously, commit to this, get into a ""party"" (kind of an online group for this rpg), and it may help you like it's helped me! I am really lazy so the progress I'm making is miraculous. It really kind of.. forces you to do what you need to do and it's my favorite mobile game there is. Hats off to the developers and anyone else involved!",5
"Amazing, creative and motivating. Kudos Designers love the Gameboy pixellated feel really made me nostalgic. Amazing app",5
"This app is very nice, it did help me",5
"Took me awhile to figure it out, the mechanics are interesting, the design is fun. It helps me build and quit some habits that i have been trying to.",5
Fun,5
"I've been using this as a motivation and self-rewarding To-Do list. It works, and there a lot of communities of people here! Ranging from LGBT to mental illness, it's great.",5
It just might be one of the best apps ever made. It has helped so much with my productivity and has such wonderful features. I love it!,5
I will reinstall this app,5
The app is really smart,5
Helps me turn my crippling depression into regular depression.,5
Thanks for free widget,5
I'm thoroughly enjoying this app so far. I've been a lot more productive and on point with my tasks as well as keeping up with my personal studies and hobbies. The game aspect has been great for me to hold accountability of my actions while finding joy in completing self-made goals and gaining experience and items.,5
Super fun way to keep up with tasks,5
It was amazing,5
"Great. I would recommend the following features: - Skills. When you work on a task, you could select which skills you will be working on. - A timer: keep track of how long you spent working on a task, and consequently on the skills. This would allow a summary of how long the player spent on each skill. - (maybe?) Skill trees. Being able to create publix skill trees for a project/hobby/etc... would be a very nice feature too.",5
"Very good app to help keep and develope new habits! Best gamification of tasks, habits and to do lists!",5
"It's hard to not get bored when I being serious on something. So, I always think that life is a game. And this is a great app that can help me to get rid from my boredom when I build my good habits. Thank you very much for the developer. 5 stars from me. 😊🤩",5
"Love the app so far. Great for motivation, but non-punishing, cute graphics, and lots of stuff to explore. Splitting up tasks by priority/type is awesome. It really has made everyday life feel more guided and fun! Would highly recommend for people who enjoy collecting, gaming, or seeing your progress add up. *One note is that sometimes, lists of tasks disappear/show tasks already completed. Closing and reopening fixes it, but would appreciate it if this bug was addressed.",5
Best productivity app,5
"The game aspect is fun, and can provide a little added motivation, but beyond that it's one of the best free to-do apps I've found. The organization is easy, and the breakdown of habits, daily (or other schedule) tasks on repeat, and a one time to-do list give much more depth than apps that claim to be more ""professional."" If you like the game-ify idea this app is great. If you want a solid, free task manager, ignore the cute icons and go with this one as well.",5
Very creative. and a good idea too!,5
Very usefull and fun,5
La actualicé hoy (22/07/2020) y se detiene cada vez que intento ver o darle de comer a mis mascotas. Por favor soluciónenlo 🙇,5
I'm here for the Ninja Cerebral,5
"Loving the app so far and has helped me stay on track with some chores and. My v small complaint is that the date is expressed wrong (for 90% of the world) as mm/dd/yy, wish I could change to dd/mm/yy, any way to change that setting on the horizon?",5
"The BEST app for motivation and tracking! Even putting the game aspect aside, I have never seen a more user-friendly app for habit/task tracking. I love how there are different categories for habits, tasks, and daily to-dos. It's customizable. Getting coins is motivation! Ive recommended it to everyone! Only thing I wish it had: a way to see your stats based on your missed to dos or frequency of habits. For instance: most health lost due to *blank* etc.",5
"It's been a week since I started using this, and I so already love this! Thanks!",5
Habitica is a lot of fun to use. It helps me more to be productive by applying RPG concept into my everyday tasks. The quests and collectibles are also fun to do - it is so rewarding.,5
"Habitica had helped me a lot in my efforts to improve my life. I've been using Habitica for 2 years now, and it really provide me with the motivation & support needed for me to achieve my objectives.",5
This is an awesome app idea for really anyone to use. Just a great app,5
